"Facility","Last Inspection Date","Score","Description","Address","City","Zip","Phone"
"AJ NOODLES",09/09/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","4121 PENNSYLVANIA AVE UNIT I","GLENDALE","91214","818-541-5570"
"PIZZA MAN",07/19/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","627 COLORADO ST","GLENDALE","91205-1709","818-247-0000"
"PANINI CAFE",09/19/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","400 BRAND BLVD STE 120","GLENDALE","91203",""
"BACARI GDL",06/06/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","757 AMERICANA WAY","GLENDALE","91210","818-645-6464"
"LOLA'S PERUVIAN RESTARUANT",05/03/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","230 N BRAND BLVD ","GLENDALE","91203",""
"SHIRAZ",05/08/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","211 S GLENDALE AVE ","GLENDALE","91205",""
"HUNGRY HOWIES PIZZA",04/04/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","600 W GLENOAKS BLVD ","GLENDALE","91202","818-502-2646"
"LA BANQUET S -GLENOAKS BALLR",09/05/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","1320 W GLENOAKS BLVD ","GLENDALE","91201",""
"MI SO CHOI GANEI",07/18/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","3839 FOOTHILL BLVD","GLENDALE","91214-1619",""
"BROADWAY BAKERY",09/04/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1128 E BROADWAY","GLENDALE","91205",""
"CAFE BRAVO",07/23/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1135 W GLENOAKS BLVD","GLENDALE","91202","818-500-4005"
"YUM CREAMERY",06/26/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","803 AMERICANA WAY","GLENDALE","91210",""
"V BOULEVARD CAFE",08/13/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","1608 VICTORY BLVD","GLENDALE","91201","818-247-2200"
"LEON BAKERY CAFE",08/29/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","2519 CANADA BLVD ","GLENDALE","91208","818-243-4585"
"VICTORIA'S TACOS",07/25/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","4204 SAN FERNANDO RD ","GLENDALE","91204","818-246-1148"
"CENTRAL GRILLE",09/26/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","801 N CENTRAL AVE","GLENDALE","91203",""
"MAPLE MARKET (KITCHEN)",08/14/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","715 S GLENDALE AVE","GLENDALE","91205",""
"VICTORS CARNICERIA MARKET",09/10/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1710 LAKE ST","GLENDALE","91201","661-759-7016"
"NAIRI MEAT & FISH MARKET",07/18/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1631 1/2 W GLENOAKS BLVD ","GLENDALE","91201",""
"GLENDALE MARKET",08/27/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","513 W GLENOAKS BLVD ","GLENDALE","91202",""
"CRAB BOIL AVE",06/11/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","900 N CENTRAL AVE","GLENDALE","91203","818-281-6156"
"TORO GRILLHOUSE",07/11/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","514 W COLORADO BLVD","GLENDALE","91204","818-500-0889"
"MCDONALD'S",08/29/2019,90.0,"RESTAURANT (61-150) SEATS MODERATE RISK","1322 GLENDALE GALLERIA ","GLENDALE","91210",""
"DEL TACO",07/24/2019,90.0,"RESTAURANT (31-60) SEATS MODERATE RISK","6550 SAN FERNANDO RD","GLENDALE","91201","909-894-3406"
"KOZANIAN RANCH MARKET MEAT/DELI",09/18/2019,90.0,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK","356 CHEVY CHASE DR","GLENDALE","91206","818-240-5459"
"SAPPORO RAMEN & SHABUSHABU",09/24/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","318 N BRAND BLVD","GLENDALE","91203","818-588-5718"
"ART'S DELI & MEAT MARKET",09/23/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1404 W KENNETH RD","GLENDALE","91201","818-507-1202"
"NERSES RESTAURANT",08/14/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","6524 SAN FERNANDO RD","GLENDALE","91201","424-666-5050"
"ACAI GRILL",09/19/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","401 N BRAND BLVD # B160","GLENDALE","91203","818-500-1133"
"LEMONADE",08/27/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","161 CARUSO AVE","GLENDALE","91210",""
"CHRISTINA DONUT",08/02/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","106 W COLORADO ST ","GLENDALE","91204",""
"NAIRI FRUITS",07/18/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","1631 W GLENOAKS BLVD ","GLENDALE","91201",""
"WOWBENTO AND ROLL",07/11/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","3231 FOOTHILL BLVD","GLENDALE","91214","818-957-3636"
"JEWEL CITY BOWL LOUNGE",08/29/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","135 S GLENDALE AVE ","GLENDALE","91205",""
"TWO GUYS FROM ITALY",04/09/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","405 N VERDUGO RD ","GLENDALE","91206",""
"NINO'S PIZZA",07/17/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","1309 W GLENOAKS BLVD ","GLENDALE","91201",""
"RADOS BAKERY & GRILL",04/30/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","909 S GLENDALE AVE","GLENDALE","91205","818-404-0009"
"GRAND FOOD MARKET",08/20/2019,90.0,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK","400 E GLENOAKS BLVD","GLENDALE","91207-2014",""
"SREAN MARKET & FRESH PRODUCE",05/06/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","1357 E COLORADO ST ","GLENDALE","91205",""
"UNDERDOGS",06/11/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","156 S BRAND BLVD","GLENDALE","91205","818-484-7677"
"POKE BAR IN GLENDALE",08/06/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","132 S BRAND BLVD","GLENDALE","91204-1308","818-626-1566"
"PHO HUT",07/11/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","312 1/2 N BRAND BLVD ","GLENDALE","91203",""
"GUERRERO MARKET AND TAKE OUT",07/23/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","721 S CENTRAL AVE # D","GLENDALE","91204","818-720-4616"
"PLATE & PETAL",07/24/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","216 N ORANGE ST","GLENDALE","91203-2612","818-484-5077"
"BURGERS AND ALL",09/17/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","740 W BROADWAY","GLENDALE","91206","818-209-6031"
"ROCKBIRD",07/23/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1147 E COLORADO ST","GLENDALE","91205",""
"STONE OVEN",07/18/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1136 GLENDALE GALLERIA ","GLENDALE","91210","818-261-2404"
"PAPILLION BAKERY #5",09/17/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1827 W GLENOAKS BLVD","GLENDALE","91201",""
"ELEPHANT RESTAURANT",07/05/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","730 S CENTRAL AVE # 104","GLENDALE","91204","323-470-1407"
"SIPAN BAKERY",08/06/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1250 W GLENOAKS BLVD STE C","GLENDALE","91201","818-240-0699"
"OCTOPUS JAPANESE RESTAURANT",09/03/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","112 N ARTSAKH AVE","GLENDALE","91206","818-500-8788"
"FRIDA MEXICAN CUISINE",06/05/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","750 AMERICANA WAY ","GLENDALE","91204",""
"MAGIC WOK",09/11/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","3313 N VERDUGO RD","GLENDALE","91208","626-678-5522"
"SISTA MARY'S SOUL FOOD",08/16/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","420 W COLORADO BLVD","GLENDALE","91204","818-396-5399"
"THE KITCHEN",08/27/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1910 W GLENOAKS BLVD","GLENDALE","91201","818-841-5100"
"MARISCOS MI LINDO SINALOA",08/01/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","401 W LOS FELIZ RD ","GLENDALE","91204",""
"THE GREAT WHITE HUT",08/01/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1500 CANADA BLVD STE B","GLENDALE","91208",""
"CRAZY ROCK'N SUSHI",08/29/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","239 N BRAND BLVD","GLENDALE","91201","818-396-5604"
"LOS ALMENDROS BAKERY",07/24/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","6604 SAN FERNANDO RD ","GLENDALE","91201","818-244-0764"
"CARLS JR #7382",04/19/2019,90.0,"RESTAURANT (61-150) SEATS MODERATE RISK","1124 W GLENOAKS BLVD ","GLENDALE","91202",""
"VONS DELI #2254",08/08/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","311 W LOS FELIZ RD ","GLENDALE","91204",""
"SQUIZ UP",09/04/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3221 GLENDALE GALLERIA WAY # LU04","GLENDALE","91210",""
"GEN KOREAN BBQ HOUSE",09/10/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","126 N ARTSAKH AVE","GLENDALE","91206","818-637-6600"
"KABAB WAY",07/18/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","919 S GLENDALE AVE ","GLENDALE","91205",""
"POURI BAKERY",06/28/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","109 S ADAMS ST ","GLENDALE","91205",""
"TARON BAKERY",07/15/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1117 S GLENDALE AVE STE #D","GLENDALE","91205","818-507-1222"
"EL BUEN GUSTO",07/25/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","3140 N GLENDALE BLVD ","LOS ANGELES","90039",""
"SARKIS PASTRY",09/26/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1111 S GLENDALE AVE STE #101","GLENDALE","91205",""
"HOT PAN/ MANGHAL",09/10/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","831 N PACIFIC AVE # E","GLENDALE","91205","818-299-0424"
"ORIGINAL KABOB FACTORY",09/05/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","1700 W GLENOAKS BLVD # D","GLENDALE","91201",""
"SIPAN MARKET & DELI",04/30/2019,90.0,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK","407 W DORAN ST ","GLENDALE","91203","818-549-9937"
"WOK TALK",07/17/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","932 E COLORADO ST","GLENDALE","91205","818-242-0588"
"LITTLE GROUND CAFE",07/17/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","1450 FLOWER ST","GLENDALE","91201",""
"INDIA'S FLAVOR",09/10/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","3303 N VERDUGO RD","GLENDALE","91208","650-863-4642"
"PHILZ COFFEE",11/28/2018,91.0,"RESTAURANT (0-30) SEATS LOW RISK","252 S BRAND BLVD # A","GLENDALE","91204",""
"PINK ORCHID BAKERY AND CAFE",05/07/2019,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","145 N JACKSON ST","GLENDALE","91206","818-484-8001"
"E-BAR",12/11/2018,91.0,"RESTAURANT (31-60) SEATS LOW RISK","102 CARUSO AVE","GLENDALE","91210","818-502-9922"
"7-ELEVEN #34979A",06/11/2019,91.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","1550 N GLENDALE BLVD","LOS ANGELES","90026","213-484-8738"
"MER YEREVAN",08/08/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","1351 E COLORADO ST","GLENDALE","91205","818-484-8288"
"CHINESE FAST FOOD",07/25/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","6348 SAN FERNANDO RD ","GLENDALE","91201",""
"OISHI SUSHI",09/10/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","308 N BRAND BLVD","GLENDALE","91203","818-241-0745"
"RALPHS GROCERY CO #134-DELI",08/20/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","211 N GLENDALE AVE ","GLENDALE","91202",""
"OLIVE GARDEN #1322",09/24/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","101 N BRAND BLVD ","GLENDALE","91203","818-240-7119"
"KABOB LAND FAMILY RESTAURANT",07/09/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","416 S CENTRAL AVE","GLENDALE","91204","818-500-3962"
"MAX'S OF MANILLA",09/17/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","313 W BROADWAY ","GLENDALE","91203",""
"CILANTRO LIME 2.0",05/01/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","1247 E COLORADO ST","GLENDALE","91205",""
"GENNAROS RESTAURANT",06/04/2019,91.0,"RESTAURANT (61-150) SEATS HIGH RISK","1109 N BRAND BLVD","GLENDALE","91202","818-243-6231"
"SHAKEY'S PIZZA PALOR #12",05/28/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","1133 S GLENDALE AVE ","GLENDALE","91204",""
"BOURBON STEAK",06/28/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","237 S BRAND BLVD","GLENDALE","91210","818-839-4130"
"MODERN EATS",06/27/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","2590 GLENDALE BLVD STE #D","LOS ANGELES","90039","323-665-1008"
"MOVSES, GOLDEN P",09/24/2019,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1755 W GLENOAKS BLVD ","GLENDALE","91201",""
"VIKING PIZZA AND KABOB",07/09/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","3740 SAN FERNANDO RD","GLENDALE","91204","818-224-8473"
"LIQUOR ZONE",08/21/2019,91.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","424 S CENTRAL AVE","GLENDALE","91204","818-500-7612"
"BARACOA CUBAN RESTAURANT",08/13/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","3175 GLENDALE BLVD ","LOS ANGELES","90039",""
"PIZZA BOY",09/11/2019,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1321 E COLORADO ST STE #C","GLENDALE","91205","818-247-5555"
"ARCHRIST BAKERY",09/11/2018,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","452 STOCKER ST # D","GLENDALE","91202","818-644-9485"
"HOT SPOT CAFE AND PIZZERIA",09/18/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","509 E BROADWAY","GLENDALE","91205","818-548-8262"
"GRAND FOOD MARKET",08/20/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","400 E GLENOAKS BLVD","GLENDALE","91207-2014",""
"BARNES & NOBLE #2303",05/15/2019,91.0,"RESTAURANT (0-30) SEATS LOW RISK","210 AMERICANA WAY ","GLENDALE","91210",""
"VERTIGO CLUB",09/19/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","400 W GLENOAKS BLVD","GLENDALE","91202","818-395-2993"
"KATSUYA",06/25/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","702 AMERICANA WAY ","GLENDALE","91204",""
"BUDDY CHICKEN",08/07/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","100 W BROADWAY ST STE FC-03","GLENDALE","91210-1202",""
"INDRA RESTAURANT",09/12/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","517 1/2 S VERDUGO RD ","GLENDALE","91205",""
"ANA KITCHEN",07/05/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","730 S CENTRAL AVE STE 101","GLENDALE","91204","818-504-9954"
"EL SAUZ TACOS",08/13/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","4432 SAN FERNANDO RD ","GLENDALE","91204",""
"EL POLLO LOCO #3736",07/18/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","1437 W GLENOAKS BLVD ","GLENDALE","91201","818-240-1180"
"CORNER BISTRO",09/03/2019,91.0,"RESTAURANT (61-150) SEATS HIGH RISK","6720 SAN FERNANDO RD ","GLENDALE","91201",""
"TAVERN ON BRAND",06/04/2019,91.0,"RESTAURANT (61-150) SEATS HIGH RISK","208 N BRAND BLVD","GLENDALE","91203","818-291-1926"
"7-ELEVEN STORE # 36874A",06/18/2019,91.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","420 S GLENDALE AVE #1","GLENDALE","91205","818-243-3619"
"MI CORAZON",09/23/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","1402 W KENNETH RD ","GLENDALE","91201","818-560-8100"
"YUMMI SUSHI",08/08/2019,91.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","311 LOS FELIZ BLVD","GLENDALE","91204","626-963-2913"
"SAM'S FRESH DONUTS",08/13/2019,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1506 W GLENOAKS","GLENDALE","91201","818-546-1300"
"7-ELEVEN #13837D",03/20/2019,91.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","425 E BROADWAY ","GLENDALE","91205",""
"HONG KONG KITCHEN",04/26/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","1121 N PACIFIC AVE","GLENDALE","91202","818-247-7774"
"TRAP FRIED CHICKEN",05/15/2019,91.0,"RESTAURANT (31-60) SEATS MODERATE RISK","1600 E CHEVY CHASE DR","GLENDALE","91206","818-530-6704"
"ELECTRIC PUSSYCAT",06/28/2019,91.0,"RESTAURANT (151 + ) SEATS LOW RISK","103 E BROADWAY AVE","GLENDALE","91205","818-261-7091"
"ANGEL THAI CUISINE",06/12/2019,91.0,"RESTAURANT (31-60) SEATS HIGH RISK","6420 SAN FERNANDO RD ","GLENDALE","91201","818-244-8173"
"MCDONALDS #1437",09/06/2019,91.0,"RESTAURANT (61-150) SEATS MODERATE RISK","1634 W GLENOAKS BLVD","GLENDALE","91201",""
"POTATO CORNER",05/15/2019,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","620 AMERICANA WAY","GLENDALE","91210","818-500-8180"
"GAUCHOS VILLAGE",09/19/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","135 N ARTSAKH AVE","GLENDALE","91206","818-550-1430"
"HOT WINGS CAFE",09/10/2019,91.0,"RESTAURANT (61-150) SEATS HIGH RISK","314 N BRAND BLVD ","GLENDALE","91203",""
"BENTO BOX",08/07/2019,91.0,"RESTAURANT (0-30) SEATS HIGH RISK","1142 GLENDALE GALLERIA","GLENDALE","91210","818-396-5110"
"OLD FASHION DELI MARKET",08/07/2019,91.0,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK","2830 N VERDUGO RD ","GLENDALE","91208","818-507-0805"
"ICE N CREAM",07/18/2019,91.0,"RESTAURANT (0-30) SEATS LOW RISK","2148 GLENDALE GALLERIA # 1325","GLENDALE","91210",""
"IT'S BOBA TIME",07/30/2019,91.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1314 GALLERIA WAY K","GLENDALE","91210",""
"HAVLABAR CUSINE",07/11/2019,91.0,"RESTAURANT (61-150) SEATS HIGH RISK","1143 E BROADWAY","GLENDALE","91205","818-629-0199"
"CONRADS",06/04/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","820 N CENTRAL AVE ","GLENDALE","91203",""
"SEPAN BANQUET HALL",06/27/2019,91.0,"RESTAURANT (151 + ) SEATS HIGH RISK","3410 N GLENDALE BLVD","LOS ANGELES","90039","323-661-7501"
"B J'S RESTAURANT & BREW HOUS",05/23/2019,92.0,"RESTAURANT (151 + ) SEATS HIGH RISK","101 N BRAND BLVD ","GLENDALE","91203",""
"MEAT DEPT",07/17/2019,92.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1010 N GLENDALE AVE #100","GLENDALE","91206","818-927-9739"
"ZANKOU CHICKEN",07/25/2019,92.0,"RESTAURANT (61-150) SEATS HIGH RISK","1415 E COLORADO ST # D","GLENDALE","91205",""
"THAI RAMA",09/17/2019,92.0,"RESTAURANT (0-30) SEATS HIGH RISK","1100 N PACIFIC AVE","GLENDALE","91202","818-545-8424"
"LADUREE KIOSK",12/11/2018,92.0,"RESTAURANT (0-30) SEATS LOW RISK","783 AMERICANA WAY # FP3","GLENDALE","91210","718-925-1497"
"HILTON LOS ANGELES NORTH/GLENDALE - RESTAURANT",07/09/2019,92.0,"RESTAURANT (151 + ) SEATS HIGH RISK","100 W GLENOAKS BLVD","GLENDALE","91202","818-956-5466"
"ARMEN MARKET & DELI",07/23/2019,92.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1101 W GLENOAKS BLVD","GLENDALE","91202","818-500-9005"
"THE FAMOUS",01/08/2019,92.0,"RESTAURANT (61-150) SEATS LOW RISK","154 S BRAND BLVD","GLENDALE","91204","818-241-2888"
"REGENT COFFEE",09/27/2019,92.0,"RESTAURANT (0-30) SEATS LOW RISK","249 N BRAND BLVD","GLENDALE","91203","626-257-4696"
"WHY NOT KABOB",07/11/2019,92.0,"RESTAURANT (0-30) SEATS HIGH RISK","1219 S GLENDALE AVE UNIT A","GLENDALE","91205-5656","818-500-1578"
